dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoMT,7,dnn,noCL,5,0.2698,-0.5755,0.2733,0.6305,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.05700090334236676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,7,dnn,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10133333333333333,0.0,0.01864729620661824,0.1,0.10982976386600769,0.0,0.10133333333333333,0.0,0.0,0.10133333333333333,0.0,0.0,0.10133333333333333,0.0,0.10133333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,7,dnn,noCL,8,0.4479,-0.1187,0.8703,0.1882,0.11466666666666667,0.0,0.02359170653907496,0.1111111111111111,0.03931833370461127,0.0,0.11466666666666667,0.0,0.0,0.11466666666666667,0.0,0.0,0.11466666666666667,0.0,0.11466666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,13,dnn,noCL,5,0.2696,-0.4665,0.4251,0.5805,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.057091237579042456,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,13,dnn,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10166666666666667,0.0,0.018764498234997477,0.1,0.10982976386600769,0.0,0.10166666666666667,0.0,0.0,0.10166666666666667,0.0,0.0,0.10166666666666667,0.0,0.10166666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoT,13,dnn,noCL,8,0.4478,-0.1187,0.8703,0.1882,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,21,dnn,noCL,5,0.2698,-0.2999,0.6250,0.4707,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.05700090334236676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,21,dnn,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10433333333333333,0.0,0.019714055740014086,0.1,0.10982976386600769,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.10433333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,21,dnn,noCL,8,0.4479,-0.1187,0.8703,0.1882,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,42,dnn,noCL,5,0.2697,-0.1501,0.8124,0.3081,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.057091237579042456,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,42,dnn,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10433333333333333,0.0,0.019714055740014086,0.1,0.10982976386600769,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.10433333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,42,dnn,noCL,8,0.4478,-0.1187,0.8703,0.1882,0.113,0.0,0.02294519317160826,0.1111111111111111,0.03931833370461127,0.0003096041884586654,0.113,0.0,0.0,0.113,0.0,0.0,0.113,0.0,0.113,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,1,lstm,noCL,5,0.2698,-0.3491,0.6127,0.5086,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.05700090334236676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,1,lstm,noCL,9,0.5450,0.0000,1.0000,0.0000,0.103,0.0,0.019236627379873077,0.1,0.10982976386600769,0.0,0.103,0.0,0.0,0.103,0.0,0.0,0.103,0.0,0.103,0.0,20,0.1,6.0,1000.0,ok
CICIoT,1,lstm,noCL,8,0.4478,-0.1187,0.8703,0.1882,0.11666666666666667,0.0,0.024378109452736316,0.1111111111111111,0.03931833370461127,0.0,0.11666666666666667,0.0,0.0,0.11666666666666667,0.0,0.0,0.11666666666666667,0.0,0.11666666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,7,lstm,noCL,5,0.2698,-0.2999,0.6250,0.4707,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.05700090334236676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,7,lstm,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10133333333333333,0.0,0.01864729620661824,0.1,0.10982976386600769,0.0,0.10133333333333333,0.0,0.0,0.10133333333333333,0.0,0.0,0.10133333333333333,0.0,0.10133333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,7,lstm,noCL,8,0.4479,-0.1187,0.8703,0.1882,0.11466666666666667,0.0,0.02359170653907496,0.1111111111111111,0.03931833370461127,0.0,0.11466666666666667,0.0,0.0,0.11466666666666667,0.0,0.0,0.11466666666666667,0.0,0.11466666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,13,lstm,noCL,5,0.2696,0.0000,1.0000,0.0000,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.057091237579042456,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,13,lstm,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10166666666666667,0.0,0.018764498234997477,0.1,0.10982976386600769,0.0,0.10166666666666667,0.0,0.0,0.10166666666666667,0.0,0.0,0.10166666666666667,0.0,0.10166666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoT,13,lstm,noCL,8,0.4478,-0.0544,0.5846,0.0961,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,21,lstm,noCL,5,0.2698,-0.2999,0.6250,0.4707,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.05700090334236676,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,21,lstm,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10433333333333333,0.0,0.019714055740014086,0.1,0.10982976386600769,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.10433333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,21,lstm,noCL,8,0.4479,-0.1187,0.8703,0.1882,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,42,lstm,noCL,5,0.2697,-0.1501,0.8124,0.3081,0.16666666666666666,0.0,0.04761904761904762,0.16666666666666666,0.057091237579042456,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,20,0.1,6.0,1000.0,ok
TONIoT,42,lstm,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10433333333333333,0.0,0.019714055740014086,0.1,0.10982976386600769,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.10433333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,42,lstm,noCL,8,0.4478,-0.1187,0.8703,0.1882,0.113,0.0,0.02294519317160826,0.1111111111111111,0.03931833370461127,0.0,0.113,0.0,0.0,0.113,0.0,0.0,0.113,0.0,0.113,0.0,20,0.1,6.0,1000.0,ok
